Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
17302_00066,6721,12.5664,10,56,120,65,193.975,134.775,185.05,1.9997,4631.89,29103.1,14551.5,99.9123,173.755,7,0.85203,55.0,1,66.8359,63.573,1.17691
17302_00074,3401,12.5664,6,32,68,37,181.175,189.975,174.925,1.99941,3153.19,19812.1,9906.04,99.9683,404.508,10,0.844198,49.0,1,68.1392,86.7492,1.10818
17302_00075,3026,12.5664,8,25,56,32,171.6,195.275,167.875,1.99934,2860.61,17973.7,8986.86,99.9961,270.378,5,0.853752,53.0179,1,78.1225,72.0591,1.10373
17302_00076,4902,12.5664,6,44,92,49,182.875,198.025,172.825,1.99959,3920.48,24633.1,12316.5,99.9886,162.679,7,0.884923,52.2717,1,70.825,60.1866,1.11078
17302_00077,4559,12.5664,9,33,73,41,190.5,188.95,169.2,1.99956,3792.4,23828.3,11914.2,99.9631,169.685,9,0.850662,61.4384,1,57.4937,55.1013,1.09901
17302_00078,3611,12.5664,6,33,70,38,138.925,188.15,162.0,1.99945,2761.0,17347.9,8673.94,99.8892,161.644,8,0.841182,50.5714,1,70.1959,53.9063,1.10472
17302_00079,5863,12.5664,11,46,101,56,189.951,191.475,178.65,1.99966,4904.38,30815.1,15407.6,99.9541,172.16,6,0.86033,57.0396,1,67.9704,63.7552,1.11203
17302_00080,9036,12.5664,5,89,181,93,193.375,193.225,146.35,1.99978,6630.56,41661.0,20830.5,99.9858,346.048,11,0.880376,48.9171,1,63.7536,65.1198,1.16957
17302_00081,4795,12.5664,5,41,85,45,190.025,187.175,185.5,1.99958,3787.69,23798.8,11899.4,99.9785,495.905,8,0.823641,55.4,1,64.1503,71.7462,1.07002
17302_00085,4000,12.5664,6,29,62,34,170.5,187.675,185.8,1.9995,3488.65,21919.8,10959.9,99.9041,370.789,8,0.873425,63.5,1,71.6306,85.5423,1.07439
17302_00086,4897,12.5664,4,45,92,48,188.2,195.85,194.95,1.99959,4062.48,25525.3,12762.7,99.9815,346.068,9,0.849166,52.2174,1,62.9318,75.148,1.08607
17302_00091,4917,12.5664,6,37,78,42,187.0,182.125,196.575,1.99959,4343.62,27291.8,13645.9,99.9947,511.977,11,0.84757,62.0256,1,66.5342,77.9532,1.09084
17302_00093,4784,12.5664,5,50,103,54,196.5,174.375,191.075,1.99958,4350.27,27333.5,13666.8,99.999,335.841,9,0.848216,45.4369,1,75.9662,74.6653,1.09878
17302_00094,2512,12.5664,6,21,46,26,192.125,169.175,180.3,1.9992,2362.27,14842.6,7421.28,99.8822,155.041,5,0.869962,53.587,1,59.8841,77.1601,1.06939
17302_00095,3418,12.5664,3,28,57,30,177.825,186.7,191.3,1.99941,3025.87,19012.1,9506.04,99.9998,329.751,10,0.82721,58.9474,1,71.5529,84.1187,1.0652
17302_00096,2975,12.5664,4,27,56,30,151.225,195.975,123.075,1.99933,2444.43,15358.8,7679.39,99.9895,385.276,6,0.843165,52.1071,1,61.2308,59.2178,1.13107
17302_00097,4242,12.5664,6,38,80,43,189.7,168.55,170.45,1.99953,3842.92,24145.8,12072.9,99.9606,260.355,8,0.838881,52.0125,1,71.7349,71.3291,1.08397
17302_00098,3120,12.5664,5,25,53,29,176.325,183.15,165.975,1.99936,2637.31,16570.7,8285.36,99.997,298.897,8,0.881542,57.8491,1,83.1539,57.1872,1.11321
17302_00099,3912,12.5664,8,37,80,44,163.45,194.525,151.125,1.99949,3571.37,22439.6,11219.8,99.9985,172.056,7,0.834044,47.8875,1,66.0875,59.0868,1.11034
17302_00101,4847,12.5664,3,47,95,49,165.375,172.55,169.7,1.99959,3826.85,24044.8,12022.4,99.9528,441.607,12,0.831815,50.0105,1,77.2233,84.0438,1.09072
17302_00102,3205,12.5664,4,30,62,33,181.775,154.275,178.5,1.99938,2827.18,17763.7,8881.86,99.9491,602.796,10,0.846632,50.6774,1,67.6029,76.5211,1.07946
17302_00103,2736,12.5664,3,37,75,39,160.025,110.975,152.1,1.99927,2035.59,12790.0,6394.98,99.9794,166.614,8,0.856682,35.4667,1,84.107,74.9154,1.11723
17302_00105,2253,12.5664,4,17,36,20,114.025,197.125,185.7,1.99911,1874.27,11776.4,5888.19,99.9378,296.337,7,0.828776,61.5556,1,72.6382,95.6974,1.098
17302_00106,3822,12.5664,6,35,74,40,189.95,178.625,184.0,1.99948,3512.39,22069.0,11034.5,99.9256,329.548,7,0.839497,50.6351,1,93.8403,86.0655,1.11014
17302_00108,1715,12.5664,4,22,46,25,163.175,177.6,166.125,1.99883,1480.56,9302.63,4651.32,99.9578,141.927,6,0.883473,36.2609,1,61.8985,74.1948,1.04194
17302_00110,3490,12.5664,5,33,69,37,174.55,192.6,176.95,1.99943,3039.43,19097.3,9548.67,99.9972,412.594,9,0.84403,49.5652,1,70.9166,89.5157,1.09135
17302_00112,4684,12.5664,9,35,77,43,181.625,178.95,160.025,1.99957,3657.73,22982.2,11491.1,99.9603,213.134,8,0.874105,59.8182,1,75.5871,57.6735,1.13649
17302_00113,6041,12.5664,8,46,98,53,183.8,162.6,184.35,1.99967,4486.18,28187.5,14093.7,99.9862,152.975,7,0.895074,60.6327,1,73.0476,55.1731,1.13625
17302_00114,3908,12.5664,8,37,80,44,174.725,182.375,156.85,1.99949,3412.95,21444.2,10722.1,99.9998,133.625,7,0.902279,47.8375,1,63.5141,51.0345,1.12079
17302_00115,4067,12.5664,6,35,74,40,187.125,188.35,136.825,1.99951,3414.77,21455.6,10727.8,99.9969,296.468,9,0.872523,53.9459,1,71.6412,63.865,1.12953
17302_00116,2578,12.5664,6,24,52,29,118.325,177.15,153.55,1.99922,2243.38,14095.6,7047.8,99.977,167.986,5,0.842744,48.5577,1,81.9733,55.1936,1.10125
17302_00117,8772,12.5664,10,68,144,77,188.725,192.125,190.25,1.99977,6424.53,40366.5,20183.2,99.9968,163.45,9,0.891686,59.9097,1,68.0064,58.0493,1.12687
17302_00118,6266,12.5664,7,72,149,78,193.075,181.4,147.075,1.99968,4710.87,29599.3,14799.6,99.9707,142.235,9,0.873398,41.047,1,73.1669,64.5112,1.15987
17302_00119,6526,12.5664,7,54,113,60,184.125,168.625,180.925,1.99969,4475.82,28122.4,14061.2,99.999,149.771,9,0.86803,56.7434,1,57.8058,63.7363,1.14563
17302_00120,6099,12.5664,6,56,116,61,170.1,128.025,191.2,1.99967,4213.94,26477.0,13238.5,99.9759,143.092,7,0.855361,51.569,1,63.6193,70.581,1.17953
17302_00121,4869,12.5664,9,46,99,54,172.875,118.575,184.3,1.99959,4001.64,25143.1,12571.5,99.957,140.839,7,0.857939,48.1717,1,77.125,61.8712,1.14033
17302_00123,2734,12.5664,4,26,54,29,192.275,171.925,187.25,1.99927,2530.34,15898.6,7949.3,99.9753,450.054,9,0.883532,49.6111,1,78.1951,71.047,1.0832
17302_00124,2914,12.5664,7,23,51,29,130.425,176.95,184.875,1.99931,2882.16,18109.2,9054.58,99.9671,415.098,7,0.854863,56.1176,1,68.214,77.6942,1.07588
17302_00125,7021,12.5664,2,51,102,52,187.4,171.825,180.5,1.99972,4341.23,27276.8,13638.4,99.9845,201.675,12,0.890806,67.8235,1,67.3486,67.7635,1.10442
17543_2434_x11441_y5587,3176,12.5664,8,53,112,60,184.075,186.675,188.9,1.99937,5676.89,35668.9,17834.5,99.9796,337.358,7,0.879464,27.3482,1,85.9362,79.5761,1.13509
17543_3308_x10077_y3766,3437,12.5664,7,62,129,68,189.225,180.875,180.275,1.99942,6448.55,40517.4,20258.7,99.9799,305.462,11,0.877191,25.6357,1,78.5947,78.3158,1.16035
17543_3471_x12087_y3637,3029,12.5664,5,48,99,52,193.775,197.625,190.1,1.99934,4540.4,28528.2,14264.1,99.9972,434.464,10,0.880992,29.5859,1,81.3111,73.9346,1.10299
17543_3705_x9619_y20864,2813,12.5664,6,58,120,63,190.775,192.175,184.325,1.99929,5175.03,32515.6,16257.8,99.9984,340.064,9,0.876704,22.4333,1,79.1234,68.371,1.17538
17543_3828_x6023_y17044,2496,12.5664,5,47,97,51,184.55,182.9,178.1,1.9992,4444.45,27925.3,13962.6,99.9897,275.419,10,0.900642,24.7216,1,73.5882,73.8943,1.15352
17543_3842_x7369_y3542,3414,12.5664,8,72,150,79,183.875,175.45,196.35,1.99941,6291.12,39528.3,19764.1,99.9632,353.639,9,0.903181,21.7533,1,67.272,60.7288,1.13023
17543_4868_x6727_y21047,2560,12.5664,5,50,103,54,150.75,197.1,183.025,1.99922,4527.07,28444.4,14222.2,99.9992,406.249,11,0.881465,23.8447,1,95.7871,75.0169,1.1354
