s_name o_name
18458_00351 10644_14108_4242
18458_00353 12066_15356_3987
18458_00374 16472_15642_5051
18458_00376 19315_15076_4982
18458_00386 10964_15940_3974
18458_00419 12717_12979_5404
18458_00424 13479_12786_5512
18458_00430 15093_12991_5588
18458_00437 13897_14077_5238
18458_00443 14405_13802_5296
18458_00444 14154_13867_5352
18458_00445 14769_13775_5452
18458_00456 14627_14564_5228
18458_00458 12604_12791_6604
18458_00459 12608_13275_6517
18458_00460 15428_13221_5362
18458_00461 15365_14218_5258
18458_00468 17860_15159_5310
18458_00488 28698_15310_3591
18458_00492 28035_13043_5154
18458_00496 27279_15401_5144
18458_00500 24576_15982_3440
18458_00502 22891_18870_3035
18458_00505 24742_16373_5104
18458_00540 27255_13316_5294
18458_00541 27186_13140_5477
18458_00542 27738_13201_5297
18458_00547 27103_13631_5469
18458_00548 27016_14182_5359
18458_00549 27239_14254_5444
18458_00550 27088_13595_5622
18458_00555 28944_13349_5265
18458_00561 28558_13320_5806
18458_00562 28868_13475_5757
18458_00565 28747_14162_5432
18458_00574 28733_14218_5816
18458_00575 26061_14516_5323
18458_00577 27168_14820_5270
18458_00578 27170_14934_5167
18458_00580 26809_15146_5372
18458_00583 28960_14578_5524
18458_00584 28219_15154_5428
18458_00585 25077_16165_5167
18458_00586 27032_15962_5374
18458_00614 27431_9712_5639
18458_00615 26809_10245_5633
18458_00616 22822_15357_5070
pre_18458_00351 25834_7594_5594
pre_18458_00356 26071_7535_5897
pre_18458_00357 26271_7880_5944
pre_18458_00360 26180_7827_5978
pre_18458_00367 26584_8156_5797
pre_18458_00369 26096_8389_5646
pre_18458_00373 28818_8327_6036
pre_18458_00374 29591_8680_6057
18465_00001 7658_9726_5016
18465_00003 8765_12246_3406
18465_00005 8626_10607_3867
18465_00006 7386_10540_5144
18465_00007 8704_9996_4819
18465_00008 8107_10009_5123
18465_00009 8916_10217_4877
18465_00011 7651_11239_4933
18465_00015 7590_12848_4471
18465_00017 7063_11868_4880
18465_00018 7188_12257_4740
18465_00028 12418_8452_3787
18465_00029 11121_8641_4334
18465_00030 9013_9413_4253
18465_00031 11468_9484_4136
18465_00032 13792_9640_3132
18465_00033 14386_9570_3126
18465_00034 10825_11126_2990
18465_00035 13226_10697_2948
18465_00036 11805_10377_3750
18465_00037 11358_11116_3561
18465_00039 12326_11464_3848
18465_00040 9919_10015_3915
18465_00041 10317_9777_4132
18465_00044 9590_11483_4313
18465_00045 9009_11427_4822
18465_00046 11614_12004_4012
18465_00048 12132_12965_4953
18465_00050 13700_10755_3347
18465_00052 5309_11571_6355
18465_00053 5483_11506_6345
18465_00054 12371_7234_5411
18465_00056 10829_10774_5379
18465_00057 10451_10932_5628
18465_00058 10688_11234_5470
18465_00059 10846_11037_5760
18465_00070 11799_10469_5421
18465_00078 10538_12779_5399
18465_00079 11180_12637_5427
18465_00080 11175_12578_5501
18465_00081 10155_12862_5500
18465_00082 10401_12936_5544
18465_00083 11192_12654_5616
18465_00084 10955_12973_5718
18465_00089 12032_12418_5460
18465_00090 11698_12728_5272
18465_00091 12462_12926_5194
18465_00092 12673_12779_5420
18465_00106 25788_12864_5126
18465_00109 26060_10889_5437
18465_00110 26014_11072_5375
18465_00111 26059_10599_5482
18465_00112 26069_10652_5574
18465_00113 25962_10709_5715
18465_00114 25971_11078_5603
18465_00115 26257_11096_5588
18465_00116 26677_11275_5608
18465_00117 26534_11144_5698
18465_00119 25950_10899_6017
18465_00125 24625_12911_5379
18465_00126 26507_12131_5535
18465_00127 25241_12570_5363
18465_00128 25291_12815_5214
18465_00133 26186_12497_5525
18465_00140 26857_11778_6080
18465_00141 26650_12047_5823
18465_00142 26236_12404_5810
18465_00145 26779_11450_6697
18465_00146 26964_11541_6723
18465_00148 27230_11308_5773
18465_00152 27072_11863_6707
18465_00154 7907_14722_3758
18465_00155 6423_14564_4767
18465_00156 7490_13125_4031
18465_00157 7798_13870_3979
18465_00159 6492_14850_4357
18465_00161 7638_16355_4085
18465_00168 11848_16102_2959
18465_00177 12147_14979_5035
18465_00199 12943_18544_3291
18465_00203 15688_16771_2778
18465_00204 14704_17093_2731
18465_00206 13548_16383_3376
18465_00207 15161_16639_3224
18465_00209 13884_18225_2680
18465_00213 12273_19535_3537
18465_00219 5980_13391_5312
18465_00226 9823_13667_5611
18465_00227 10128_13164_5390
18465_00228 10502_13427_5271
18465_00230 10856_13209_5525
18465_00233 10345_13591_5529
18465_00234 10512_13632_5768
18465_00235 10501_14360_5235
18465_00241 11942_13057_5168
18465_00242 11419_14571_5369
18465_00246 9745_18185_5240
18465_00248 10287_16573_6635
18465_00258 20215_15245_4841
18465_00261 22385_15693_5003
18465_00264 26523_15406_3758
18465_00281 30653_14577_4643
18465_00282 27960_16137_4071
18465_00283 28815_16659_4272
18465_00285 27654_18624_5115
18465_00286 24683_13180_5232
18465_00287 24151_13787_5172
18465_00288 24093_13691_5250
18465_00294 25146_14443_5222
18465_00300 26271_13576_6031
18465_00303 25049_14012_5821
18465_00304 23457_15424_5161
18465_00305 25008_15241_5248
18465_00309 27262_18828_5196
18465_00312 26814_11677_6742
18465_00313 22904_11317_5191
pre_18465_00102 12210_6769_5813
pre_18465_00267 7825_14985_6764
pre_18465_00268 8232_15536_6694
17781_00001 20061_17538_3146
17781_00003 14250_36311_2884
17781_2184_x15071_y19950 15075_19975_2168
17781_3668_x9453_y17266 9444_17299_3661
17781_3819_x16144_y41186 16121_41189_3816
17781_4710_x13766_y10574 13754_10569_4711
